buyer,category,n_tenders,technology_score
"Dirección General de Gestión Económica, Contratación e Infraestructuras de la Conselleria de Sanidad",Other,120,0
Aena. Dirección del Aeropuerto de Alicante-Elche,Other,118,0
"Valenciana d'Estrategies i Recursos per a la Sostenibilitat Ambiental, Sociedad Anónima",Other,118,0
"Consejo de Administración de Medio Ambiente, Agua, Residuos y Energía de Cantabria, S.A.(MARE S.A.)",Other,117,0
Junta de Gobierno del Ayuntamiento de Rivas Vaciamadrid,Other,117,0
Presidencia de Diputación Provincial de Albacete,Other,117,0
Junta de Gobierno del Ayuntamiento de Elche,Other,116,0
Subdirección General de Servicios Económicos y Pagadurías,Other,115,0
"Empresa de Transformación Agraria S.A.,S.M.E., M.P., (TRAGSA)",Software & Development,114,116
Gerencia Sector Sanitario de Zaragoza 2,Other,114,0
Junta de Gobierno del Ayuntamiento de Dos Hermanas,Other,114,0
Presidencia de la Diputación Provincial de Guadalajara,Other,114,0
Área de Gobierno de Obras y Equipamientos,Other,114,0
División Económica y Técnica (Cuerpo Nacional de Policía),Other,113,0
"Presidencia de la Agencia Estatal Consejo Superior de Investigaciones Científicas, M.P.",Other,112,0
Delegación Provincial de la Consejería de Bienestar Social en Ciudad Real,Other,111,0
Dirección General de la Ciudad de las Artes y de las Ciencias S.A.,Other,111,0
Junta de Gobierno del Ayuntamiento de Ciudad Real,Other,111,0
Junta de Gobierno del Ayuntamiento de Pozuelo de Alarcón,Other,110,0
"Presidencia de la Compañía Española de Financiación del Desarrollo. COFIDES S.A., S.M.E.",Software & Development,110,111
Alcaldía del Ayuntamiento de Villanueva de la Cañada,Other,109,0
Junta de Gobierno de la Diputación Provincial de Lugo,Other,109,0
Junta de Gobierno del Ayuntamiento de San Sebastián de los Reyes,Other,108,0
Concejalía Delegada de Contratación del Ayuntamiento de Gandía,Other,107,0
Junta de Gobierno Local del Ayuntamiento de Cartagena,Other,107,0
Junta de Gobierno del Ayuntamiento de Vigo,Other,107,0
Rectorado de la Universidad de Granada,Other,107,0
Alcaldía del Ayuntamiento de Lora del Río,Other,106,0
Junta de Gobierno del Ayuntamiento de Getafe,Other,106,0
"Sociedad Aragonesa de Gestión Agroambiental, S.L.U. (SARGA)",Other,106,0
Consejo de Administración de la Compañía para la Gestión de Residuos Sólidos en Asturias S.A.,Other,104,0
Presidencia de la Autoridad Portuaria de Valencia,Other,102,0
Presidencia de la Diputación Provincial de Salamanca,Other,102,0
Aena. Presidencia. Consejero Delegado,Other,101,0
"Consejería de Infraestructuras, Transporte y Vivienda",Other,101,0
Gerencia del Área de Salud de Cáceres,Other,101,0
Aena. Dirección del Aeropuerto de Ibiza,Other,100,0
Aena. Dirección del Aeropuerto de Palma de Mallorca,Other,100,0
Concejalía de Hacienda del Ayuntamiento de Benalmádena,Other,100,0
Aena. Dirección del Aeropuerto de Menorca,Other,99,0
Junta de Gobierno del Ayuntamiento Las Rozas,Other,99,0
Dirección del Servicio de Gestión Económica de la Agencia Estatal de la Administración Tributaria,Other,98,0
Junta de Gobierno del Ayuntamiento de Toledo,Other,98,0
Junta de Gobierno del Ayuntamiento de Torrevieja,Other,98,0
ADIF Alta Velocidad - Consejo de Administración,Other,97,0
Dirección de Adquisiciones del Mando de Apoyo Logístico del Ejército del Aire y del Espacio,Other,97,0
Distrito de Retiro,Other,97,0
Junta de Gobierno Local del Ayuntamiento de Alicante,Other,97,0
Consejo de Administración de la Empresa Municipal Saneamientos de Córdoba S.A. (SADECO),Other,96,0
Junta de Gobierno del Ayuntamiento de Torrejón de Ardoz,Other,96,0
Distrito de Villa de Vallecas,Other,95,0
Jefatura de la Sección de Asuntos Económicos de la Unidad Militar de Emergencias,Other,95,0
Presidencia de la Diputación Provincial de Huelva,Other,95,0
Rectorado de la Universidad Politécnica de Madrid,Other,95,0
"Área de Gobierno de Políticas Sociales, Familia e Igualdad del Ayuntamiento de Madrid",Other,95,0
ADIF - Presidencia,Infrastructure & Hardware,94,80
Junta de Gobierno del Ayuntamiento de Alcorcón,Other,94,0
Junta de Gobierno del Ayuntamiento de Roquetas de Mar,Other,94,0
Sociedad Regional Cántabra de Promoción Turística S.A. CANTUR S.A.,Other,94,0
Subdirección General de Planificación y Gestión Económica,Other,94,0
Órgano de Contratación de la Ciudad Autónoma de Ceuta,Other,94,0
Departamento de Salud Alicante. Dirección Económica-Gerencia,Other,93,0
Dirección General de Tráfico,Other,93,0
Gerencia de Atención Sanitaria del Instituto Nacional de Gestión Sanitaria en Ceuta,Other,93,0
Junta de Gobierno del Ayuntamiento de Alzira,Other,93,0
"Consejería de Movilidad, Medio Ambiente y Gestión de Emergencias del Principado de Asturias",Other,92,0
Jefatura de la Sección Económico Administrativa 24 de la Base Aérea de Morón,Other,92,0
Junta de Gobierno Local del Ayuntamiento de Ávila,Other,92,0
Dirección Gerencia de la Mutua de Andalucía y Ceuta,Other,91,0
Gerencia del Área de Salud de Badajoz,Other,91,0
Fábrica Nacional de Moneda y Timbre - Real Casa de la Moneda,Other,90,0
Dirección Provincial de Educación en Soria,Other,89,0
Gerencia de la Universidad de Castilla-La Mancha,Other,89,0
Alcaldía del Ayuntamiento de Huesca,Other,88,0
Concejalía de Contratación del Ayuntamiento de Ondara,Other,88,0
Junta de Gobierno del Ayuntamiento de Castellón de la Plana,Other,88,0
Junta de Gobierno del Ayuntamiento de Sagunto,Other,88,0
Rectorado de la Universidad Autónoma de Madrid,Other,88,0
Alcaldía del Ayuntamiento de Salamanca,Other,87,0
Junta de Gobierno del Ayuntamiento de Alcalá de Henares,Other,87,0
Presidencia de la Diputación Provincial de Valencia,Other,87,0
Alcaldía del Ayuntamiento de Cullera,Other,86,0
"Dirección Gerencia de Unión de Mutuas, Mutua Colaboradora con la Seguridad Social Nº 267",Other,86,0
Dirección Provincial de Educación en León,Other,86,0
ENAIRE. Dirección Regional NA. Región Centro Norte,Other,86,0
"Entidad Pública Empresarial Local Centros de Arte, Cultura y Turismo de Lanzarote",Other,86,0
Junta de Contratación del Ministerio de Cultura,Other,86,0
Junta de Gobierno del Ayuntamiento de Alcobendas,Other,86,0
Presidencia de la Diputación Provincial de Cuenca,Other,86,0
Presidencia de la Diputación Provincial de Palencia,Other,86,0
Alcaldía del Ayuntamiento de Canet d'en Berenguer,Other,85,0
"Sociedad Mercantil Estatal de Infraestructuras Agrarias, S.A. (SEIASA)",Other,85,0
Concejalía Delegada en Materia de Contratación del Ayuntamiento de Torremolinos,Other,84,0
Consejería de Educación y Formación Profesional de la Región de Murcia,Other,84,0
Ineco-Comité de Dirección,Other,84,0
Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,Other,84,0
Junta de Gobierno del Ayuntamiento de Palma de Mallorca,Other,84,0
Dirección General de Patrimonio Cultural y Bellas Artes,Other,83,0
Dirección Gerencia de Limpieza de Málaga Sociedad Anónima Municipal,Other,83,0
Dirección Provincial de Educación en Zamora,Other,83,0
Gerencia de Ferrocarrils de la Generalitat Valenciana,Other,83,0
Jefatura de la Sección Económico-Administrativa 41 - Base Aérea de San Javier,Other,83,0
Alcaldia del Ayuntamiento de San Fernando,Other,82,0
Dirección General de Recursos Económicos del Servicio Canario de la Salud,Other,82,0
Junta de Gobierno del Ayuntamiento de Móstoles,Other,82,0
Alcaldía del Ayuntamiento de la Histórica Villa de los Realejos,Other,81,0
Consorcio Hospital General Universitario de Valencia,Other,81,0
Jefatura de la Sección Económico Administrativa 22 - Base Aérea de Torrejón (Agrupación de Base),Other,81,0
"Secretaría General del Centro de Investigaciones Energéticas, Medioambientales y Tecnológicas (CIEMAT)",Other,81,0
Dirección General del Instituto Nacional de las Artes Escénicas y de la Música,Other,80,0
Gerencia del Hospital Intermutual de Levante,Other,80,0
Junta de Gobierno del Ayuntamiento de Leganés,Other,80,0
Rectorado de la Universidad Miguel Hernández de Elche,Other,80,0
Aena. Dirección del Aeropuerto de Valencia,Other,79,0
"Consejería de Medio Ambiente, Vivienda y Ordenación del Territorio de la Junta de Castilla y León",Other,79,0
"Consejo de Administración de la Empresa Municipal de Aguas de Córdoba, S.A. (EMACSA)",Other,79,0
"Diputado delegado de Infraestructuras, Sostenibilidad y Agricultura",Other,79,0
"Imprenta de Billetes, S.A., Medio Propio del Banco de España (IMBISA)",Other,79,0
Aena. Dirección del Aeropuerto de Fuerteventura,Other,78,0
Alcaldía del Ayuntamiento de Béjar,Other,78,0
Centro Nacional de Investigaciones Cardiovasculares Carlos III (F.S.P.),Other,78,0
Comisión Ejecutiva de Gestión Integral del Agua de Huelva,Other,78,0
Dirección General de la Societat Valenciana FIRA València S.A.,Other,78,0
Gobierno de Zaragoza,Other,78,0
Presidencia de la Autoridad Portuaria de la Bahía de Algeciras,Other,78,0
Área de Fomento de la Diputación Provincial de Badajoz,Other,78,0
Consejo Rector de CASA 47 Entidad Pública Empresarial,Other,77,0
Dirección Provincial de Educación en Valladolid,Other,77,0
Junta de Gobierno Local del Ayuntamiento de Jerez,Other,77,0
Junta de Gobierno del Ayuntamiento de Ejea de Los Caballeros,Other,77,0
Junta de Gobierno del Ayuntamiento de León,Other,77,0
Presidencia de la Diputación Provincial de Toledo,Other,77,0
Gerencia del Área de Salud de Mérida,Other,76,0
Jefatura de Asuntos Económicos del Estado Mayor de la Defensa,Other,76,0
Jefatura de la Sección Económico-Administrativa 27 - Base Aérea de Getafe,Other,76,0
Aena. Dirección del Aeropuerto de Bilbao,Other,75,0
Dirección Gerencia de Gestión Ambiental de Castilla-La Mancha S.A.,Other,75,0
"Dirección Gerencia de Mutua Balear, Mutua de Accidentes de Trabajo y Enfermedades Profesionales de la Seguridad Social Nº 183",Other,75,0
"Consejería Delegada de Servicios Informáticos Local de Menorca, S.A.",Other,74,0
"Consejería delegada de ACOSOL, S.A.U.",Other,74,0
"Consejo de Administración de Sociedad Mercantil Estatal Aguas de las Cuencas de España, S.A. (ACUAES)",Other,74,0
Consejo de Administración del Patrimonio Nacional,Other,73,0
"Dirección Gerencia de Mutualia, Mutua Colaboradora con la Seguridad Social nº 02",Other,73,0
Dirección Provincial de Educación en Palencia,Other,73,0
Gerencia de Servicio Sanitarios de Fuerteventura,Other,73,0
Junta de Gobierno del Ayuntamiento de Tomelloso,Other,73,0
Alcaldía del Ayuntamiento de Náquera,Other,72,0
Alcaldía del Ayuntamiento de Oleiros,Other,72,0
"Consejero Delegado de Ingeniería de Sistemas para la Defensa de España S.A., S.M.E. y M.P.",Software & Development,72,98
"Consejo de Administración de la Empresa Municipal de Transportes de Valencia, S.A.U.",Other,72,0
"Gerencia de Transportes Urbanos de Sevilla, SAM",Other,72,0
"Presidencia del Consorcio de Seguridad, Emergencia, Salvamento, Prevención y Extinción de Incendios de Lanzarote",Other,72,0
Rectorado de la Universitat de València,Other,72,0
Servicio de Salud - Servicios Centrales,Other,72,0
Aena. Dirección del Aeropuerto de Tenerife Sur,Other,71,0
Alcaldía del Ayuntamiento de El Campello,Other,71,0
Junta de Gobierno del Ayuntamiento de La Vall d'Uixó,Other,71,0
Junta de Gobierno del Ayuntamiento de Paterna,Other,71,0
Rectorado de la Universidad Jaume I,Other,71,0
Alcaldía del Ayuntamiento de Torremolinos,Other,70,0
Comisión Ejecutiva de la Limpieza Pública y Protección Ambiental Sociedad Anónima Municipal (LIPASAM),Other,70,0
Entidad Pública Aragonesa de Servicios Telemáticos,Software & Development,70,73
"Instituto de Vivienda, Infraestructura y Equipamiento de la Defensa",Other,70,0
Junta de Gobierno del Ayuntamiento Dénia,Other,70,0
Junta de Gobierno del Ayuntamiento de Alcoy,Other,70,0
Presidencia de la Diputación Provincial de Ourense,Other,70,0
Presidencia de la Diputación Provincial de Soria,Other,70,0
Consejo de Gobierno Insular del Cabildo Insular de Tenerife,Other,69,0
Rectorado de la Universidad Complutense de Madrid,Other,69,0
Rectorado de la Universidad de Cantabria,Other,69,0
Rectorado de la Universitat Politècnica de València,Other,69,0
Teniente de Alcalde de Contratación Pública del Ayuntamiento de Elche,Other,69,0
Alcaldía del Ayuntamiento de Isla Cristina,Other,68,0
Autoridad Portuaria de Cartagena,Other,68,0
"Presidencia del Consejo de Administración de la Sociedad Estatal de Infraestructuras del Transporte Terrestre, S.M.E., S.A.",Other,68,0
"Consejería de Fomento, Vivienda, Ordenación del Territorio y Medio Ambiente de la Comunidad Autónoma de Cantabria",Other,67,0
Consorcio de la Zona Franca de Barcelona,Other,67,0
Junta de Gobierno Local del Ayuntamiento de Alcalá de Guadaíra,Other,67,0
Presidencia de la Confederación Hidrográfica del Ebro,Other,67,0
"Secretaría General de la Consejería de Hacienda, Administraciones Públicas y Transformación Digital de la Junta de Comunidades de Castilla-La Mancha",Other,67,0
"Área de Gobierno de Cultura, Turismo y Deporte",Other,67,0
Consejería de Sanidad del Gobierno de Canarias,Other,66,0
"Consejo de Administración de Desarrollo Urbanístico de El Ejido, S.L.",Software & Development,66,72
Gerencia de EGARSAT,Other,66,0
Hulleras del Norte S.A.,Other,66,0
Instituto Aragonés de Servicios Sociales (IASS),Other,66,0
Junta de Gobierno del Ayuntamiento de Burgos,Other,66,0
Junta de Gobierno local del Ayuntamiento de Villalbilla,Other,66,0
Presidencia del Instituto Municipal Coruña Espectáculos,Other,65,0
Vicepresidencia del Consejo de Administración de la Entidad Pública Empresarial Instituto de la Cultura y de las Artes de Sevilla (ICAS),Other,65,0
Comisión Ejecutiva de la Gerencia de Urbanismo de Sevilla,Other,64,0
Dirección Económico Financiero de la Dirección General de Infraestructura. MDE,Other,64,0
Dirección General de Infraestructuras y Equipamientos del Gobierno de Canarias,Other,64,0
